Scale group,Images,Instances,800,960,1280,Delta 960-800,Delta 1280-960,Delta 1280-800
Tiny,115,1359,0.627720,0.646835,0.660209,0.019115,0.013374,0.032489
Small,227,1359,0.706497,0.720731,0.720410,0.014234,-0.000321,0.013914
Medium,149,1359,0.716867,0.728167,0.735131,0.011300,0.006964,0.018265
Large,142,1359,0.785367,0.790726,0.797314,0.005359,0.006588,0.011947
