metric,quantity,mean,median,ci_95_low,ci_95_high,sd,p_delta_lt_0,p_delta_gt_0,n
mAP50-95,delta_960_minus_800,0.019464,0.019531,0.016652,0.022146,0.001454,0.000,1.000,1000
mAP50-95,delta_1280_minus_960,0.013562,0.013570,0.011330,0.015651,0.001113,0.000,1.000,1000
mAP50-95,delta_difference_1280_960_minus_960_800,-0.005902,-0.005981,-0.010364,-0.001518,0.002262,0.998,0.002,1000
AP50,delta_960_minus_800,0.005231,0.004385,0.002658,0.009075,0.002050,0.000,1.000,1000
AP50,delta_1280_minus_960,0.000865,0.000879,-0.000187,0.001886,0.000528,0.054,0.946,1000
AP50,delta_difference_1280_960_minus_960_800,-0.004366,-0.003790,-0.008622,-0.001087,0.002167,1.000,0.000,1000
