resolution,seed,val_map50,val_map50_95,test_map50,test_map50_95,training_time_h,training_time_note
800,42,0.9750,0.7390,0.9643,0.7199,4.480,measured
800,123,0.9750,0.7410,0.9656,0.7244,5.364,measured
800,2024,0.9760,0.7460,0.9650,0.7220,5.573,measured
960,42,0.9840,0.7680,0.9739,0.7420,7.290,measured
960,123,0.9840,0.7700,0.9730,0.7360,7.555,timestamp estimate
960,2024,0.9840,0.7690,0.9730,0.7400,7.200,measured
1280,42,0.9850,0.7820,0.9741,0.7543,22.540,measured
1280,123,0.9860,0.7830,0.9744,0.7559,24.189,measured
1280,2024,0.9840,0.7840,0.9730,0.7530,14.863,early stopped at epoch 179/300; best epoch 129
