resolution,protocol,selected_conf,MAE,RMSE,MAPE_percent,Bias_pred_minus_gt,Relative_total_error_percent
800,fixed_conf_0.25,0.25,26.074919,34.429128,13.724387,25.664495,12.194329
800,validation_calibrated,0.45,12.302932,18.305319,7.332651,0.400651,0.190367
800,test_diagnostic_best,0.45,12.302932,18.305319,7.332651,0.400651,0.190367
960,fixed_conf_0.25,0.25,24.557003,32.457891,12.940698,23.28013,11.061413
960,validation_calibrated,0.5,15.716612,22.258549,8.792443,-7.423453,-3.527209
960,test_diagnostic_best,0.4,13.309446,19.639421,8.174472,4.833876,2.296787
1280,fixed_conf_0.25,0.25,21.23127,30.072226,11.407424,20.228013,9.611218
1280,validation_calibrated,0.5,14.009772,20.48635,7.982182,-4.550489,-2.162137
1280,test_diagnostic_best,0.4,12.703583,19.616519,7.588042,5.381107,2.556801
