resolution_px,seed,val_mAP50,val_mAP50_95,test_mAP50,test_mAP50_95,training_time_h
800,42,0.975,0.739,0.9643,0.7199,4.48
800,123,0.975,0.741,0.9656,0.7244,5.364
1280,42,0.985,0.782,0.9741,0.7543,22.54
1280,123,0.986,0.783,0.9744,0.7559,24.189
