resolution_px,global_mAP50_95,low,medium,high,ultra_high
800,0.7183,0.0861,0.1478,0.2296,0.2966
960,0.7389,0.0762,0.1345,0.2616,0.3180
1280,0.7539,0.0750,0.1460,0.2594,0.3170
