resolution_px,confidence,images,gt_total,pred_total,MAE,RMSE,MAPE_percent,bias,relative_total_error_percent
800,0.25,307,64612,72491,26.07,34.43,13.72,25.66,12.19
960,0.25,307,64612,71759,24.56,32.46,12.94,23.28,11.06
1280,0.25,307,64612,70822,21.23,30.07,11.41,20.23,9.61
