resolution_px,max_det,precision,recall,mAP50,mAP50_95
800,300,0.9377,0.8683,0.8903,0.6733
800,1000,0.9301,0.9283,0.9643,0.7199
800,1500,0.9301,0.9283,0.9643,0.7199
960,300,0.939,0.8758,0.8933,0.6925
960,1000,0.9314,0.9385,0.9739,0.742
960,1500,0.9314,0.9385,0.9739,0.742
1280,300,0.9419,0.879,0.8929,0.7025
1280,1000,0.935,0.9438,0.9741,0.7543
1280,1500,0.935,0.9438,0.9741,0.7545
