resolution,calibration_source,calibration_images,selected_conf,test_MAE,test_RMSE,test_Bias_pred_minus_gt,test_Relative_total_error_percent
800,all_validation,153,0.45,12.302932,18.305319,0.400651,0.190367
800,component_1_only,130,0.45,12.302932,18.305319,0.400651,0.190367
800,component_10_only,23,0.4,12.439739,19.572383,6.335505,3.010277
960,all_validation,153,0.5,15.716612,22.258549,-7.423453,-3.527209
960,component_1_only,130,0.5,15.716612,22.258549,-7.423453,-3.527209
960,component_10_only,23,0.35,15.218241,22.355435,10.703583,5.085743
1280,all_validation,153,0.5,14.009772,20.48635,-4.550489,-2.162137
1280,component_1_only,130,0.5,14.009772,20.48635,-4.550489,-2.162137
1280,component_10_only,23,0.45,12.885993,19.226915,0.625407,0.297158
