Quantity,Point,Bootstrap mean,95% CI low,95% CI high,P(delta > 0),P(delta < 0),Interpretation
mAP50-95: 960-800,0.008340,0.008443,0.004625,0.012476,1.000,0.000,Positive interval
mAP50-95: 1280-960,0.008747,0.009304,0.004646,0.013897,1.000,0.000,Positive interval
mAP50-95: 1280-800,0.017087,0.017747,0.013323,0.022198,1.000,0.000,Positive interval
Adjacent-gain difference,0.000407,0.000862,-0.006217,0.007874,0.600,0.400,No clear difference
mAP50: 960-800,-0.000106,-0.000491,-0.005098,0.001937,0.447,0.553,CI crosses zero
mAP50: 1280-960,0.000958,0.001158,-0.001658,0.005744,0.741,0.259,CI crosses zero
mAP50: 1280-800,0.000852,0.000667,-0.001829,0.002961,0.705,0.295,CI crosses zero
