resolution,main_test_map50,main_test_map50_95,deployment_val_map50_95,training_time_h_seed42,gflops,total_latency_ms_img,peak_reserved_mib,ap_gain_from_800,ap_gain_captured_fraction_of_800_to_1280,training_time_ratio_vs_800,gflops_ratio_vs_800,latency_ratio_vs_800,peak_reserved_ratio_vs_800,accuracy_norm,training_efficiency_norm,gflops_efficiency_norm,latency_efficiency_norm,memory_efficiency_norm,multi_objective_score_default,multi_objective_score_no_gflops,score_rank_default,pareto_status,interpretation
800,0.964300,0.719900,0.738734,4.480000,10.063440,6.323815,86.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.500000,2,non-dominated,lowest-cost baseline with the lowest accuracy
960,0.973900,0.742000,0.767950,7.290000,14.491354,8.519790,102.000000,0.022100,0.642442,1.627232,1.440000,1.347255,1.186047,0.642442,0.844408,0.717949,0.221865,0.714286,0.655512,0.630525,1,non-dominated,balanced candidate under the default weighted objective
1280,0.974100,0.754300,0.782413,22.540000,25.762406,9.145914,142.000000,0.034400,1.000000,5.031250,2.560000,1.446265,1.651163,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,2,non-dominated,accuracy-oriented setting with highest GFLOPs and memory pressure
