Density group,Images,Instances,800,960,1280,Delta 960-800,Delta 1280-960,Delta 1280-800
Q1 low,44,826,0.797178,0.800171,0.809330,0.002993,0.009159,0.012151
Q2 medium-low,35,735,0.779600,0.790051,0.798778,0.010452,0.008726,0.019178
Q3 medium-high,58,1276,0.761774,0.769315,0.788099,0.007541,0.018784,0.026325
Q4 high,113,2599,0.757264,0.767508,0.772678,0.010244,0.005170,0.015414
