dataset,detector,resolution,seed,epochs,batch,workers,optimizer,training_time_h,best_pt,note,val_precision,val_recall,val_map50,val_map50_95,val_preprocess_ms_img,val_inference_ms_img,val_postprocess_ms_img,test_precision,test_recall,test_map50,test_map50_95,test_preprocess_ms_img,test_inference_ms_img,test_postprocess_ms_img
VisDrone2019-DET,YOLO11n,800,42,100,2,0,SGD,8.702075,D:\Broiler chicken detection dataset\02_RUNS\08_cross_dataset_VisDrone_YOLO11n_resolution\VD_YOLO11n_img800_seed42_SGD_e100_b2\weights\best.pt,Cross-domain protocol demonstration only; not a VisDrone SOTA benchmark.,0.471304,0.388542,0.376345,0.217963,0.827177,6.624335,1.492385,0.421622,0.343656,0.314604,0.178268,1.080175,5.117464,1.337119
VisDrone2019-DET,YOLO11n,960,42,100,2,0,SGD,10.281708,D:\Broiler chicken detection dataset\02_RUNS\08_cross_dataset_VisDrone_YOLO11n_resolution\VD_YOLO11n_img960_seed42_SGD_e100_b2\weights\best.pt,Cross-domain protocol demonstration only; not a VisDrone SOTA benchmark.,0.522268,0.412226,0.420972,0.248848,0.806323,6.690136,1.722737,0.454962,0.375504,0.350464,0.200657,1.279850,6.053041,1.622277
VisDrone2019-DET,YOLO11n,1280,42,100,2,0,SGD,14.330938,D:\Broiler chicken detection dataset\02_RUNS\08_cross_dataset_VisDrone_YOLO11n_resolution\VD_YOLO11n_img1280_seed42_SGD_e100_b2\weights\best.pt,Cross-domain protocol demonstration only; not a VisDrone SOTA benchmark.,0.567929,0.459592,0.479732,0.288488,1.040955,6.536338,1.887785,0.498147,0.410226,0.397706,0.229995,1.141439,5.771560,1.381703
