experiment_id,model,resolution,seed,best_pt_path,training_time_h,val_precision,val_recall,val_map50,val_map50_95,test_precision,test_recall,test_map50,test_map50_95
Y8_M1_YOLOv8n_PIO_GRDB_MD5_7_1_2_img800_seed42_SGD_e300_b2,YOLOv8n,800,42,D:\Broiler chicken detection dataset\02_RUNS\06_cross_detector_YOLOv8n_resolution\Y8_M1_YOLOv8n_PIO_GRDB_MD5_7_1_2_img800_seed42_SGD_e300_b2\weights\best.pt,4.908442846222218,0.9496410794835519,0.9509205753738792,0.9759941621211563,0.7465332636135771,0.9328052204156492,0.9356311521079675,0.9660268663030382,0.7271698998902717
Y8_M2_YOLOv8n_PIO_GRDB_MD5_7_1_2_img960_seed42_SGD_e300_b2,YOLOv8n,960,42,D:\Broiler chicken detection dataset\02_RUNS\06_cross_detector_YOLOv8n_resolution\Y8_M2_YOLOv8n_PIO_GRDB_MD5_7_1_2_img960_seed42_SGD_e300_b2\weights\best.pt,6.640595663277781,0.9515555878726205,0.9569625704849799,0.984578460153381,0.7710476089320263,0.9360855706494167,0.9416075733928813,0.9732527836953169,0.7442502286044805
Y8_M3_YOLOv8n_PIO_GRDB_MD5_7_1_2_img1280_seed42_SGD_e300_b2,YOLOv8n,1280,42,D:\Broiler chicken detection dataset\02_RUNS\06_cross_detector_YOLOv8n_resolution\Y8_M3_YOLOv8n_PIO_GRDB_MD5_7_1_2_img1280_seed42_SGD_e300_b2\weights\best.pt,13.98413970036112,0.9542504819923235,0.957973174366617,0.9853052288227626,0.7862475500880595,0.9379546064269513,0.9431307190188583,0.9739915074742236,0.7573319097172482
