scale_group,images,instances,ap_800,ap_960,ap_1280
tiny,279,16153,0.1249,0.1366,0.1414
small,300,16153,0.1613,0.1678,0.1738
medium,289,16153,0.2499,0.2693,0.2521
large,278,16153,0.3972,0.3571,0.4474
