Input (px),Precision,Recall,mAP50,mAP50-95,Delta vs. 800,Delta vs. previous,95% CI low,95% CI high,GFLOPs,Latency median (ms/img),Latency IQR (ms/img),Peak CUDA (MiB)
800,0.9733,0.9336,0.9821,0.7673,,,,,10.06,4.76,0.09,68.2
960,0.9688,0.9408,0.9820,0.7757,0.0083,0.0083,0.0046,0.0125,14.49,5.49,0.07,79.7
1280,0.9758,0.9407,0.9830,0.7844,0.0171,0.0087,0.0046,0.0139,25.76,7.45,0.16,111.9
