resolution,repeat_id,warmup,precision,recall,map50,map50_95,preprocess_ms_img,inference_ms_img,postprocess_ms_img,total_ms_img,wall_time_s,peak_allocated_mib,peak_reserved_mib,split,batch,workers,conf,iou,max_det,half
800,1,True,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,0.8713483591290081,26.49817581355474,1.475712418361427,28.84523659104518,11.71835309988819,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,2,True,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0822594737987112,3.9644516362303417,1.3001437840703265,6.346854894099379,4.303054499905556,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,3,True,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0714150365636825,3.989612417344272,1.2994562047442386,6.360483658652194,4.2748874998651445,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,4,True,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.008427452320367,3.7840810449173055,1.2341026122395704,6.026611109477242,4.171719199977815,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,5,True,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.1747215746664534,3.950588227085331,1.2991633920571188,6.424473193808904,4.485828600125387,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,6,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,0.9560222171393096,3.9187437866881387,1.3046516349015673,6.179417638729015,4.235540599795058,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,7,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,0.9946640583936099,3.8933849747420526,1.2892718880370357,6.177320921172699,4.238089899998158,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,8,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,0.949574508125973,3.938493458858503,1.3131326874048492,6.201200654389325,4.327876900089905,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,9,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0758411760131519,3.88432941186467,1.291979741901646,6.252150329779468,4.025379400001839,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,10,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0899660113614564,4.016981046232913,1.3272536011546656,6.434200658749035,4.024405299918726,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,11,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0687013056275307,3.9469542383563283,1.3022692874073982,6.317924831391258,4.031563299940899,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,12,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.034421572352157,4.12912353313242,1.3792039354763974,6.542749040960974,4.3170085998717695,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,13,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.2052163475625266,4.231220916266632,1.3681973902861666,6.804634654115325,4.831767000025138,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,14,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0736372483151606,3.9513300635602344,1.2775012931110814,6.302468604986476,4.069381299894303,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,15,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,0.9972705898404705,3.864638565193399,1.257988899714904,6.119898054748774,3.919082900043577,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,16,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.089221565052867,3.9709091408701696,1.2968111101513595,6.3569418160743965,4.049697799840942,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,17,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.1041006499450972,3.981009804418469,1.308084314908175,6.393194769271741,4.190378499915823,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,18,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0710830109352185,3.80494445105832,1.2147660090228896,6.090793471016427,3.9698260000441223,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,19,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.2181235349499713,3.853128110576007,1.2396666589588707,6.310918304484849,4.027765800012276,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,20,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.173559480401523,3.912874505082085,1.2432718847336526,6.329705870217261,3.9819922999013215,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,21,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0705647086176802,3.871509791625773,1.1946346406867496,6.136709140930203,3.761800199979916,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,22,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.05100979699808,3.7572862659550568,1.1726810453837018,5.980977108336838,3.709170199930668,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,23,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0165588160234145,3.8511836520864877,1.204564697200469,6.072307165310372,3.7793195999693125,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,24,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.004026146617785,4.046162744083144,1.3041385552949374,6.3543274459958665,4.303767800098285,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,25,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.200438560796232,3.995608498823214,1.3644764689862534,6.5605235286056995,4.553401399869472,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,26,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.190775813644423,4.050021565038395,1.343081699185122,6.58387907786794,4.532271699979901,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,27,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.2209006521266466,4.176345755790476,1.3608620912932297,6.758108499210352,4.819623900111765,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,28,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.2075718967061415,4.116269928750162,1.3869398660056924,6.710781691461996,4.510015199892223,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,29,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.274498045639275,4.032875160120574,1.3549882459022056,6.662361451662055,4.410310700070113,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,30,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0719888925771504,3.8373941141698094,1.3287189565720707,6.23810196331903,4.19968910003081,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,31,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.2027758061033642,4.153179739802784,1.4007294100094465,6.7566849559155955,4.498443800024688,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,32,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.0513483662328689,3.99055816628818,1.3165627408383136,6.358469273359362,4.3746296998579055,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,33,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.1125411701333874,3.8116464035256823,1.2286614346640563,6.152849008323126,3.8992566000670195,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,34,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.1902679719663913,3.8511588213831383,1.2442418328468123,6.285668626196342,3.929139999905601,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
800,35,False,0.9468810403479361,0.9445061644763583,0.9747318252667766,0.7387342305604577,1.1515326758396198,3.921039210742011,1.273758825085132,6.346330711666763,3.9723033998161554,60.68505859375,86.0,val,2,0,0.001,0.7,1000,True
960,1,True,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.8510444374158491,22.19881829988284,1.3368490206844668,24.386711757983157,7.949005399830639,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,2,True,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.4680738612595532,5.08338039333086,1.5428483674874882,8.094302622077901,4.066403900040314,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,3,True,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.8137581666042797,4.2858450944395425,1.5300575132463494,6.629660774290172,3.9367875999305397,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,4,True,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.8128300686579903,4.102444432955844,1.5115365903410647,6.426811091954899,3.8074499000795186,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,5,True,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.7502111055419531,4.064947712156021,1.4227300614508147,6.237888879148789,3.7926681998651475,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,6,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.425421576082609,5.218269933453377,1.5688281037595149,8.212519613295502,4.531153900083154,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,7,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.5726300638193398,5.27643006800193,1.608980405661795,8.458040537483065,4.55566870002076,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,8,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.4687457541916886,5.499192154388022,1.6475392161606768,8.615477124740387,4.770380500005558,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,9,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.6651529471809958,5.356322214603911,1.6452666673371021,8.666741829122008,4.720234100008383,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
