comparison,mean,median,ci95_low,ci95_high,std,n_bootstrap
delta_mAP50_95_960_minus_800,0.019464211527774094,0.019530604683237418,0.016651814715085554,0.022146494473473423,0.0014543226616481543,1000
delta_mAP50_95_1280_minus_960,0.01356179269373628,0.013570205292043225,0.011329906361692765,0.015651363523189608,0.0011133694535257583,1000
delta_mAP50_95_1280_minus_800,0.03302600422151037,0.03304494585177842,0.030471708999315027,0.03551674012163022,0.0012612622008866315,1000
delta_AP50_960_minus_800,0.005231400809313704,0.004384685664697852,0.0026582986419778714,0.009074907661579997,0.002050150376611049,1000
delta_AP50_1280_minus_960,0.0008649679881158183,0.0008788182227258967,-0.00018712458372836525,0.0018859429130400726,0.000528043017382001,1000
delta_AP50_1280_minus_800,0.006096368797429523,0.005152924823296767,0.003756834218050845,0.009855835765081283,0.0020663060386612252,1000
