split,images,image_ratio,instances,instance_ratio,avg_instances_per_image
train,1027,0.69065232,225771,0.68982364,219.83544304
val,153,0.10289173,36905,0.11276002,241.20915033
test,307,0.20645595,64612,0.19741634,210.46254072
total,1487,1.00000000,327288,1.00000000,220.09952925
